data,IPCA,codigo
01/01/2020,0.21,IPCA
01/02/2020,0.25,IPCA
01/03/2020,0.07,IPCA
01/04/2020,-0.31,IPCA
01/05/2020,-0.38,IPCA
01/06/2020,0.26,IPCA
01/07/2020,0.36,IPCA
01/08/2020,0.24,IPCA
01/09/2020,0.64,IPCA
01/10/2020,0.86,IPCA
01/11/2020,0.89,IPCA
01/12/2020,1.35,IPCA
01/01/2021,0.25,IPCA
01/02/2021,0.86,IPCA
01/03/2021,0.93,IPCA
01/04/2021,0.31,IPCA
01/05/2021,0.83,IPCA
01/06/2021,0.53,IPCA
01/07/2021,0.96,IPCA
01/08/2021,0.87,IPCA
01/09/2021,1.16,IPCA
01/10/2021,1.25,IPCA
01/11/2021,0.95,IPCA
01/12/2021,0.73,IPCA
01/01/2022,0.54,IPCA
01/02/2022,1.01,IPCA
01/03/2022,1.62,IPCA
01/04/2022,1.06,IPCA
01/05/2022,0.47,IPCA
01/06/2022,0.67,IPCA
01/07/2022,-0.68,IPCA
01/08/2022,-0.36,IPCA
01/09/2022,-0.29,IPCA
01/10/2022,0.59,IPCA
01/11/2022,0.41,IPCA
01/12/2022,0.62,IPCA
01/01/2023,0.53,IPCA
01/02/2023,0.84,IPCA
01/03/2023,0.71,IPCA
01/04/2023,0.61,IPCA
01/05/2023,0.23,IPCA
01/06/2023,-0.08,IPCA
01/07/2023,0.12,IPCA
01/08/2023,0.23,IPCA
01/09/2023,0.26,IPCA
01/10/2023,0.24,IPCA
01/11/2023,0.28,IPCA
01/12/2023,0.56,IPCA
01/01/2024,0.42,IPCA
01/02/2024,0.83,IPCA
01/03/2024,0.16,IPCA
01/04/2024,0.38,IPCA
01/05/2024,0.46,IPCA
01/06/2024,0.21,IPCA
01/07/2024,0.38,IPCA
01/08/2024,-0.02,IPCA
01/09/2024,0.44,IPCA
01/10/2024,0.56,IPCA
01/11/2024,0.39,IPCA
01/12/2024,0.52,IPCA
01/01/2025,0.16,IPCA
01/02/2025,1.31,IPCA
01/03/2025,0.56,IPCA
01/04/2025,0.43,IPCA
01/05/2025,0.26,IPCA
01/06/2025,0.24,IPCA
01/07/2025,0.26,IPCA
01/08/2025,-0.11,IPCA
01/09/2025,0.48,IPCA
01/10/2025,0.09,IPCA
01/11/2025,0.18,IPCA
01/12/2025,0.33,IPCA
01/01/2026,0.33,IPCA
01/02/2026,0.70,IPCA
01/03/2026,0.88,IPCA
01/04/2026,0.67,IPCA
