data,Spread_do_Crédito,codigo
01/01/2020,18.45,Spread_do_Crédito
01/02/2020,18.65,Spread_do_Crédito
01/03/2020,18.06,Spread_do_Crédito
01/04/2020,17.08,Spread_do_Crédito
01/05/2020,16.53,Spread_do_Crédito
01/06/2020,15.45,Spread_do_Crédito
01/07/2020,15.26,Spread_do_Crédito
01/08/2020,14.81,Spread_do_Crédito
01/09/2020,14.14,Spread_do_Crédito
01/10/2020,14.40,Spread_do_Crédito
01/11/2020,14.13,Spread_do_Crédito
01/12/2020,14.29,Spread_do_Crédito
01/01/2021,15.58,Spread_do_Crédito
01/02/2021,15.38,Spread_do_Crédito
01/03/2021,14.89,Spread_do_Crédito
01/04/2021,14.96,Spread_do_Crédito
01/05/2021,14.42,Spread_do_Crédito
01/06/2021,14.34,Spread_do_Crédito
01/07/2021,14.49,Spread_do_Crédito
01/08/2021,14.35,Spread_do_Crédito
01/09/2021,14.34,Spread_do_Crédito
01/10/2021,15.07,Spread_do_Crédito
01/11/2021,15.25,Spread_do_Crédito
01/12/2021,15.70,Spread_do_Crédito
01/01/2022,16.21,Spread_do_Crédito
01/02/2022,16.76,Spread_do_Crédito
01/03/2022,16.94,Spread_do_Crédito
01/04/2022,17.24,Spread_do_Crédito
01/05/2022,17.09,Spread_do_Crédito
01/06/2022,17.51,Spread_do_Crédito
01/07/2022,18.39,Spread_do_Crédito
01/08/2022,18.57,Spread_do_Crédito
01/09/2022,18.74,Spread_do_Crédito
01/10/2022,19.90,Spread_do_Crédito
01/11/2022,19.84,Spread_do_Crédito
01/12/2022,18.85,Spread_do_Crédito
01/01/2023,19.79,Spread_do_Crédito
01/02/2023,20.19,Spread_do_Crédito
01/03/2023,20.30,Spread_do_Crédito
01/04/2023,21.29,Spread_do_Crédito
01/05/2023,21.42,Spread_do_Crédito
01/06/2023,21.16,Spread_do_Crédito
01/07/2023,20.94,Spread_do_Crédito
01/08/2023,20.59,Spread_do_Crédito
01/09/2023,20.36,Spread_do_Crédito
01/10/2023,19.91,Spread_do_Crédito
01/11/2023,19.94,Spread_do_Crédito
01/12/2023,19.45,Spread_do_Crédito
01/01/2024,19.27,Spread_do_Crédito
01/02/2024,19.28,Spread_do_Crédito
01/03/2024,19.33,Spread_do_Crédito
01/04/2024,19.06,Spread_do_Crédito
01/05/2024,18.79,Spread_do_Crédito
01/06/2024,18.54,Spread_do_Crédito
01/07/2024,18.53,Spread_do_Crédito
01/08/2024,18.46,Spread_do_Crédito
01/09/2024,18.27,Spread_do_Crédito
01/10/2024,18.27,Spread_do_Crédito
01/11/2024,18.42,Spread_do_Crédito
01/12/2024,17.52,Spread_do_Crédito
01/01/2025,18.38,Spread_do_Crédito
01/02/2025,19.31,Spread_do_Crédito
01/03/2025,19.37,Spread_do_Crédito
01/04/2025,19.98,Spread_do_Crédito
01/05/2025,20.40,Spread_do_Crédito
01/06/2025,20.60,Spread_do_Crédito
01/07/2025,20.40,Spread_do_Crédito
01/08/2025,20.61,Spread_do_Crédito
01/09/2025,20.37,Spread_do_Crédito
01/10/2025,20.75,Spread_do_Crédito
01/11/2025,21.45,Spread_do_Crédito
01/12/2025,21.11,Spread_do_Crédito
01/01/2026,21.76,Spread_do_Crédito
01/02/2026,22.11,Spread_do_Crédito
01/03/2026,21.92,Spread_do_Crédito
01/04/2026,22.60,Spread_do_Crédito
